region_acronym,M145,M146,M149
A13,0.0,0.0,0.0
AAA,0.0,2.9444389791664403,0.0
ACA,0.0,0.0,0.0
ACAd,0.0,0.0,0.0
ACAv,0.0,0.0,1.3862943611198906
ACAv6a,0.0,0.0,0.0
ACAv6b,0.0,0.0,0.0
ACB,0.0,0.0,1.791759469228055
ACVI,0.0,0.0,0.0
ACVII,0.0,0.0,0.0
AD,0.0,0.6931471805599453,0.0
ADP,0.0,0.0,0.0
AHA,0.0,0.0,0.0
AHN,0.0,1.9459101490553132,0.0
AHNa,0.0,0.0,0.0
AHNc,0.0,0.0,0.0
AHNd,0.0,0.0,0.0
AHNp,0.0,0.0,0.0
AI,0.0,0.0,0.0
AId,0.0,0.0,1.6094379124341003
AIp,0.0,1.0986122886681098,0.0
AIv,0.0,0.0,0.0
AM,0.0,0.0,0.0
AMB,0.0,0.0,0.0
AMBd,0.0,0.0,0.0
AMBv,0.0,0.0,0.0
AMd,0.0,0.6931471805599453,0.0
AMv,0.6931471805599453,1.6094379124341003,0.6931471805599453
AN,0.0,0.0,0.0
ANcr1,0.0,0.0,0.0
ANcr2,0.0,0.0,0.0
AOB,0.0,0.0,0.0
AON,0.0,0.0,1.6094379124341003
AONd,0.0,0.0,0.0
AONe,0.0,0.0,0.0
AONl,0.0,0.0,0.0
AONm,0.0,0.0,0.0
AONpv,0.0,0.0,0.0
AP,0.0,0.0,0.0
APN,1.0986122886681098,1.0986122886681098,0.0
APr,0.0,0.0,2.0794415416798357
AQ,0.0,0.0,0.0
ARH,0.0,0.0,0.0
ASO,0.0,0.0,0.0
AT,0.0,0.0,0.0
ATN,0.0,0.0,0.0
AUD,0.0,0.0,0.0
AUDd,2.70805020110221,1.791759469228055,0.0
AUDp,3.7612001156935624,1.3862943611198906,0.0
AUDpo,3.5263605246161616,0.6931471805599453,0.0
AUDv,2.6390573296152584,0.6931471805599453,0.0
AV,0.0,0.0,0.0
AVP,0.0,0.0,0.0
AVPV,0.0,0.0,0.0
Acs5,0.0,0.0,0.0
B,0.0,0.0,0.0
BA,0.0,0.0,0.0
BAC,0.0,0.0,0.0
BLA,0.0,0.0,0.0
BLAa,0.0,3.2188758248682006,0.0
BLAp,0.0,0.0,0.0
BLAv,0.0,0.0,0.0
BMA,0.0,0.0,0.0
BMAa,0.0,2.995732273553991,0.0
BMAp,0.0,0.0,0.0
BS,0.0,0.0,0.0
BST,0.0,0.0,0.6931471805599453
BSTa,0.0,0.0,0.0
BSTal,0.0,0.0,0.0
BSTam,0.0,0.0,0.0
BSTd,0.0,0.0,0.0
BSTdm,0.0,0.0,0.0
BSTfu,0.0,0.0,0.0
BSTif,0.0,0.0,0.0
BSTju,0.0,0.0,0.0
BSTmg,0.0,0.0,0.0
BSTov,0.0,0.0,0.0
BSTp,0.0,0.0,0.0
BSTpr,0.0,0.0,0.0
BSTrh,0.0,0.0,0.0
BSTse,0.0,0.0,0.0
BSTtr,0.0,0.0,0.0
BSTv,0.0,0.0,0.0
CA,0.0,0.0,0.0
CA1,2.995732273553991,2.6390573296152584,0.6931471805599453
CA1slm,2.70805020110221,0.0,0.6931471805599453
CA1so,4.897839799950911,0.6931471805599453,0.6931471805599453
CA1sr,4.127134385045092,2.995732273553991,0.0
CA2,0.0,0.0,0.0
CA2slm,0.0,0.6931471805599453,0.0
CA2so,0.0,0.0,0.0
CA2sr,0.0,0.0,0.0
CA3,1.6094379124341003,0.0,0.0
CA3slm,0.0,0.6931471805599453,0.0
CA3slu,3.044522437723423,0.0,0.0
CA3so,4.110873864173311,3.332204510175204,0.0
CA3sr,3.4657359027997265,2.772588722239781,0.0
CB,0.0,0.0,0.0
CBN,0.0,0.0,0.0
CBX,0.0,0.0,0.0
CEA,0.0,0.0,0.0
CEAc,0.0,3.1354942159291497,0.0
CEAl,0.6931471805599453,1.9459101490553132,0.0
CEAm,0.0,3.6888794541139363,0.6931471805599453
CENT,0.0,0.0,0.0
CENT2,0.0,0.0,0.0
CENT3,0.0,0.0,0.0
CH,0.0,0.0,0.0
CL,0.0,0.0,0.0
CLA,0.0,0.0,0.0
CLI,0.0,0.0,0.0
CM,0.0,0.0,0.6931471805599453
CN,0.0,0.0,0.0
