region_acronym,M145,M146,M149
AUD,0.0,0.0,0.0
AUDd,0.00290035218562254,0.0019739439399921043,0.0
AUDp,0.00870105655686762,0.0011843663639952626,0.0
AUDpo,0.006836544437538844,0.00039478878799842083,0.0
AUDv,0.0026931841723637872,0.00039478878799842083,0.0
MA,0.0,0.0,0.0
MA3,0.0,0.0,0.0
MARN,0.0,0.0,0.0
MB,0.00020716801325875285,0.00039478878799842083,0.0007905138339920949
MBO,0.0,0.0,0.0
MBmot,0.0,0.0,0.0
MBsen,0.0,0.0,0.0
MBsta,0.0,0.0,0.0
MD,0.0,0.0,0.0
MDRN,0.0,0.0,0.0
MDRNd,0.0,0.0,0.0
MDRNv,0.0,0.0,0.0
MDc,0.0,0.0,0.0
MDl,0.0,0.0,0.0
MDm,0.0,0.0,0.0
ME,0.0,0.0,0.0
MEA,0.0,0.007106198183971575,0.0
MEAad,0.0,0.0,0.0
MEAav,0.0,0.0,0.0
MEApd,0.0,0.0,0.0
MEApv,0.0,0.0,0.0
MED,0.0,0.0,0.0
MEPO,0.0,0.0,0.0
MEV,0.0,0.0,0.0
MEZ,0.0,0.0,0.0
MG,0.0,0.0,0.0
MGd,0.00020716801325875285,0.0,0.0
MGm,0.0,0.0,0.0
MGv,0.0,0.0,0.0
MH,0.0,0.0,0.0
MM,0.0,0.0,0.0
MMd,0.0,0.0,0.0
MMl,0.0,0.0,0.0
MMm,0.0,0.0,0.0
MMme,0.0,0.0,0.0
MMp,0.0,0.0,0.0
MO,0.0,0.0,0.0
MOB,0.0,0.0,0.0
MOp,0.0,0.0,0.001976284584980237
MOs,0.0,0.0,0.003952569169960474
MPN,0.0,0.0,0.0
MPNc,0.0,0.0,0.0
MPNl,0.0,0.0,0.0
MPNm,0.0,0.0,0.0
MPO,0.0,0.0,0.0
MPT,0.0,0.0,0.0
MRN,0.0,0.0,0.0003952569169960474
MRNm,0.0,0.0,0.0
MRNmg,0.0,0.0,0.0
MRNp,0.0,0.0,0.0
MS,0.0,0.0,0.0
MSC,0.0,0.0,0.0
MT,0.0,0.0,0.0
MTN,0.0,0.0,0.0
MV,0.0,0.0,0.0
MY,0.0,0.0,0.0
MY-mot,0.0,0.0,0.0
MY-sat,0.0,0.0,0.0
MY-sen,0.0,0.0,0.0
RSP,0.0,0.0,0.0
RSPagl,0.019888129272840272,0.013028030003947888,0.07233201581027668
RSPd,0.013673088875077687,0.01934465061192262,0.06561264822134387
RSPv,0.031489538015330436,0.03197789182787209,0.009486166007905139
VIS,0.0,0.0,0.0
VISC,0.0,0.00039478878799842083,0.0
VISa,0.0020716801325875284,0.0,0.0003952569169960474
VISal,0.004143360265175057,0.0,0.0
VISam,0.030039361922519162,0.0015791551519936833,0.0
VISl,0.011808576755748913,0.014607185155941572,0.0011857707509881424
VISli,0.003107520198881293,0.005527043031977891,0.0
VISlla,0.0,0.0,0.0
VISm,0.0,0.0,0.0
VISmma,0.0,0.0,0.0
VISmmp,0.0,0.0,0.0
VISp,0.41102133830536564,0.3426766679826293,0.1067193675889328
VISpl,0.0026931841723637872,0.00039478878799842083,0.0015810276679841897
VISpm,0.08535322146260617,0.029214370311883144,0.007509881422924901
VISpor,0.003107520198881293,0.0035530990919857876,0.0
VISrl,0.0035218562253987984,0.002368732727990525,0.0
VISrll,0.0,0.0,0.0
mcp,0.0,0.0,0.0
mct,0.0,0.0,0.0
mfb,0.0,0.0,0.0007905138339920949
mfbc,0.0,0.0,0.0
mfbs,0.0,0.0,0.0
mfbse,0.0,0.0,0.0
mfbsm,0.0,0.0,0.0
mfbsma,0.0,0.0,0.0
mfbst,0.0,0.0,0.0
mfsbshy,0.0,0.0,0.0
ml,0.0,0.0,0.0
mlf,0.0,0.0,0.0
moV,0.0,0.0,0.0
mp,0.0,0.0,0.0
mtV,0.0,0.0,0.0
mtc,0.0,0.0,0.0
mtg,0.0,0.0,0.0
mtt,0.0,0.00039478878799842083,0.0
